date,region,instance_type,purchase_type,number_of_cpus,usage_hours,total_cost,cost_per_hour
2023-12-17,us-east-1,m6g.4xlarge,Savings Plans,16,48.581944,29.926477504,0.616
2023-12-17,us-east-1,m6i.4xlarge,Savings Plans,16,143.889722,110.507306496,0.7679999999999999
2023-12-17,us-east-1,m6i.4xlarge,Standard Reserved,16,14.75,0.0,0.0
2023-12-17,us-east-1,r5.2xlarge,Standard Reserved,8,100.823889,0.0,0.0
2023-12-17,us-east-1,r5.4xlarge,Savings Plans,16,51.946806,52.362380448,1.008
2023-12-17,us-east-1,r5.4xlarge,Standard Reserved,16,49.210139,0.0,0.0
2023-12-17,us-east-1,r6g.2xlarge,Savings Plans,8,38.553889,15.5449280448,0.40320000000000006
2023-12-18,us-east-1,m6g.4xlarge,Savings Plans,16,48.0,29.568,0.616
2023-12-18,us-east-1,m6i.4xlarge,Savings Plans,16,129.688611,99.600853248,0.768
2023-12-18,us-east-1,m6i.4xlarge,Standard Reserved,16,14.311389,0.0,0.0
2023-12-18,us-east-1,r5.2xlarge,Standard Reserved,8,72.0,0.0,0.0
2023-12-18,us-east-1,r5.4xlarge,On Demand,16,1.375,1.386,1.008
2023-12-18,us-east-1,r5.4xlarge,Savings Plans,16,39.125,39.438,1.008
2023-12-18,us-east-1,r5.4xlarge,Standard Reserved,16,31.5,0.0,0.0
2023-12-18,us-east-1,r6g.2xlarge,On Demand,8,1.0,0.4032,0.4032
2023-12-18,us-east-1,r6g.2xlarge,Savings Plans,8,23.0,9.2736,0.4032
2023-12-19,us-east-1,m6g.4xlarge,Savings Plans,16,48.0,29.568,0.616
2023-12-19,us-east-1,m6i.4xlarge,Savings Plans,16,133.25,102.336,0.768
2023-12-19,us-east-1,m6i.4xlarge,Standard Reserved,16,10.75,0.0,0.0
2023-12-19,us-east-1,r5.2xlarge,Standard Reserved,8,72.0,0.0,0.0
2023-12-19,us-east-1,r5.4xlarge,Savings Plans,16,43.625,43.974,1.008
2023-12-19,us-east-1,r5.4xlarge,Standard Reserved,16,28.375,0.0,0.0
2023-12-19,us-east-1,r6g.2xlarge,Savings Plans,8,24.0,9.6768,0.4032
2023-12-20,us-east-1,m6g.4xlarge,Savings Plans,16,48.0,29.568,0.616
2023-12-20,us-east-1,m6i.4xlarge,Savings Plans,16,132.253889,101.570986752,0.768
2023-12-20,us-east-1,m6i.4xlarge,Standard Reserved,16,11.746111,0.0,0.0
2023-12-20,us-east-1,r5.2xlarge,Standard Reserved,8,72.0,0.0,0.0
