date,region,instance_type,purchase_type,number_of_cpus,usage_hours,total_cost,cost_per_hour
2024-01-24,eu-central-1,r5.xlarge,Standard Reserved,4,22.484722,0.0,0.0
2024-01-24,eu-central-1,r6a.4xlarge,On Demand,16,2.149444,2.3523515136,1.0944
2024-01-25,eu-central-1,m6a.2xlarge,Savings Plans,8,44.0,18.216,0.41400000000000003
2024-01-25,eu-central-1,m6a.4xlarge,Savings Plans,16,48.0,39.744,0.828
2024-01-25,eu-central-1,m6g.2xlarge,Savings Plans,8,160.595,59.09896,0.368
2024-01-25,eu-central-1,m6g.2xlarge,Standard Reserved,8,12.0,0.0,0.0
2024-01-25,eu-central-1,m6g.8xlarge,Savings Plans,32,48.0,70.656,1.4720000000000002
2024-01-25,eu-central-1,r5.2xlarge,Standard Reserved,8,216.0,0.0,0.0
2024-01-25,eu-central-1,r5.4xlarge,Standard Reserved,16,24.0,0.0,0.0
2024-01-25,eu-central-1,r5.8xlarge,On Demand,32,96.0,233.472,2.432
2024-01-25,eu-central-1,r5.xlarge,Standard Reserved,4,24.0,0.0,0.0
2024-01-26,eu-central-1,m6a.2xlarge,Savings Plans,8,48.0,19.872,0.414
