date,region,instance_type,purchase_type,number_of_cpus,usage_hours,total_cost,cost_per_hour
2024-11-29,us-east-1,r5.2xlarge,On Demand,8,2.0,1.008,0.504
2024-11-29,us-east-1,r5.2xlarge,Savings Plans,8,46.0,23.184,0.504
2024-11-29,us-east-1,r6i.2xlarge,On Demand,8,1.0,0.504,0.504
2024-11-29,us-east-1,r6i.2xlarge,Savings Plans,8,23.0,11.592,0.504
2024-11-30,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-11-30,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-11-30,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-11-30,us-east-1,r5.2xlarge,On Demand,8,2.0,1.008,0.504
2024-11-30,us-east-1,r5.2xlarge,Savings Plans,8,46.0,23.184,0.504
2024-11-30,us-east-1,r6i.2xlarge,On Demand,8,1.0,0.504,0.504
2024-11-30,us-east-1,r6i.2xlarge,Savings Plans,8,23.0,11.592,0.504
2024-12-01,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-01,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-01,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-01,us-east-1,r5.2xlarge,On Demand,8,4.0,2.016,0.504
2024-12-01,us-east-1,r5.2xlarge,Savings Plans,8,44.0,22.176,0.504
2024-12-01,us-east-1,r6i.2xlarge,On Demand,8,3.0,1.512,0.504
2024-12-01,us-east-1,r6i.2xlarge,Savings Plans,8,21.0,10.584,0.504
2024-12-02,us-east-1,m6g.2xlarge,Savings Plans,8,48.0,14.784,0.308
2024-12-02,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2024-12-02,us-east-1,m6i.4xlarge,Savings Plans,16,24.0,18.432,0.7679999999999999
2024-12-02,us-east-1,r5.2xlarge,On Demand,8,14.8620420169,7.4904691765,0.5039999999988158
